# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 10
#    norm     : ZK
# 1) Frequency, 2) Amps
0.000000  1.567001
0.001303  0.000420
0.002606  0.000106
0.003909  0.000047
0.005211  0.000027
0.006514  0.000017
0.007817  0.000012
0.009120  0.000009
0.010423  0.000009
0.011726  0.000011
0.013029  0.000016
0.014331  0.000021
0.015634  0.000025
0.016937  0.000027
0.018240  0.000028
0.019543  0.000030
0.020846  0.000032
0.022149  0.000033
0.023451  0.000032
0.024754  0.000030
0.026057  0.000028
0.027360  0.000027
0.028663  0.000029
0.029966  0.000030
0.031269  0.000031
0.032571  0.000031
0.033874  0.000028
0.035177  0.000025
0.036480  0.000021
0.037783  0.000017
0.039086  0.000014
0.040389  0.000012
0.041692  0.000012
0.042994  0.000014
0.044297  0.000018
0.045600  0.000022
0.046903  0.000026
0.048206  0.000030
0.049509  0.000034
0.050812  0.000038
0.052114  0.000041
0.053417  0.000043
0.054720  0.000045
0.056023  0.000046
0.057326  0.000046
0.058629  0.000045
0.059932  0.000044
0.061234  0.000045
0.062537  0.000047
0.063840  0.000052
0.065143  0.000061
0.066446  0.000074
0.067749  0.000091
0.069052  0.000111
0.070354  0.000130
0.071657  0.000146
0.072960  0.000155
0.074263  0.000153
0.075566  0.000142
0.076869  0.000125
0.078172  0.000107
0.079474  0.000090
0.080777  0.000072
0.082080  0.000051
0.083383  0.000027
0.084686  0.000012
0.085989  0.000031
0.087292  0.000055
0.088594  0.000076
0.089897  0.000093
0.091200  0.000107
0.092503  0.000117
0.093806  0.000122
0.095109  0.000121
0.096412  0.000115
0.097714  0.000104
0.099017  0.000092
0.100320  0.000079
0.101623  0.000069
0.102926  0.000063
0.104229  0.000061
0.105532  0.000063
0.106834  0.000067
0.108137  0.000073
0.109440  0.000076
0.110743  0.000078
0.112046  0.000077
0.113349  0.000074
0.114652  0.000069
0.115954  0.000063
0.117257  0.000056
0.118560  0.000047
0.119863  0.000036
0.121166  0.000025
0.122469  0.000015
0.123772  0.000016
0.125075  0.000028
0.126377  0.000041
0.127680  0.000053
0.128983  0.000063
0.130286  0.000071
0.131589  0.000075
0.132892  0.000077
0.134195  0.000077
0.135497  0.000078
0.136800  0.000086
0.138103  0.000105
0.139406  0.000136
0.140709  0.000173
0.142012  0.000211
0.143315  0.000247
0.144617  0.000279
0.145920  0.000308
0.147223  0.000331
0.148526  0.000349
0.149829  0.000358
0.151132  0.000353
0.152435  0.000332
0.153737  0.000296
0.155040  0.000247
0.156343  0.000191
0.157646  0.000132
0.158949  0.000075
0.160252  0.000032
0.161555  0.000051
0.162857  0.000093
0.164160  0.000131
0.165463  0.000160
0.166766  0.000178
0.168069  0.000186
0.169372  0.000183
0.170675  0.000171
0.171977  0.000151
0.173280  0.000125
0.174583  0.000098
0.175886  0.000074
0.177189  0.000062
0.178492  0.000065
0.179795  0.000079
0.181097  0.000096
0.182400  0.000112
0.183703  0.000125
0.185006  0.000132
0.186309  0.000132
0.187612  0.000125
0.188915  0.000114
0.190217  0.000100
0.191520  0.000083
0.192823  0.000064
0.194126  0.000042
0.195429  0.000016
0.196732  0.000012
0.198035  0.000041
0.199337  0.000069
0.200640  0.000095
0.201943  0.000118
0.203246  0.000136
0.204549  0.000147
0.205852  0.000150
0.207155  0.000144
0.208458  0.000129
0.209760  0.000109
0.211063  0.000088
0.212366  0.000073
0.213669  0.000075
0.214972  0.000095
0.216275  0.000125
0.217578  0.000157
0.218880  0.000185
0.220183  0.000206
0.221486  0.000218
0.222789  0.000221
0.224092  0.000214
0.225395  0.000200
0.226698  0.000180
0.228000  0.000153
0.229303  0.000124
0.230606  0.000094
0.231909  0.000069
0.233212  0.000053
0.234515  0.000049
0.235818  0.000053
0.237120  0.000055
0.238423  0.000054
0.239726  0.000049
0.241029  0.000042
0.242332  0.000039
0.243635  0.000042
0.244938  0.000054
0.246240  0.000070
0.247543  0.000085
0.248846  0.000098
0.250149  0.000106
0.251452  0.000109
0.252755  0.000108
0.254058  0.000104
0.255360  0.000098
0.256663  0.000091
0.257966  0.000085
0.259269  0.000078
0.260572  0.000070
0.261875  0.000060
0.263178  0.000050
0.264480  0.000037
0.265783  0.000024
0.267086  0.000021
0.268389  0.000034
0.269692  0.000053
0.270995  0.000072
0.272298  0.000088
0.273600  0.000098
0.274903  0.000102
0.276206  0.000099
0.277509  0.000088
0.278812  0.000072
0.280115  0.000051
0.281418  0.000032
0.282720  0.000034
0.284023  0.000058
0.285326  0.000085
0.286629  0.000109
0.287932  0.000128
0.289235  0.000139
0.290538  0.000141
0.291841  0.000134
0.293143  0.000120
0.294446  0.000105
0.295749  0.000095
0.297052  0.000093
0.298355  0.000103
0.299658  0.000119
0.300961  0.000136
0.302263  0.000150
0.303566  0.000157
0.304869  0.000155
0.306172  0.000141
0.307475  0.000116
0.308778  0.000082
0.310081  0.000042
0.311383  0.000013
0.312686  0.000053
0.313989  0.000098
0.315292  0.000139
0.316595  0.000173
0.317898  0.000198
0.319201  0.000214
0.320503  0.000222
0.321806  0.000224
0.323109  0.000224
0.324412  0.000225
0.325715  0.000230
0.327018  0.000239
0.328321  0.000253
0.329623  0.000270
0.330926  0.000286
0.332229  0.000297
0.333532  0.000300
0.334835  0.000294
0.336138  0.000277
0.337441  0.000252
0.338743  0.000218
0.340046  0.000179
0.341349  0.000135
0.342652  0.000091
0.343955  0.000051
0.345258  0.000033
0.346561  0.000050
0.347863  0.000073
0.349166  0.000089
0.350469  0.000098
0.351772  0.000098
0.353075  0.000092
0.354378  0.000081
0.355681  0.000069
0.356983  0.000061
0.358286  0.000057
0.359589  0.000058
0.360892  0.000059
0.362195  0.000058
0.363498  0.000053
0.364801  0.000044
0.366103  0.000030
0.367406  0.000018
0.368709  0.000024
0.370012  0.000043
0.371315  0.000064
0.372618  0.000083
0.373921  0.000097
0.375224  0.000105
0.376526  0.000107
0.377829  0.000103
0.379132  0.000093
0.380435  0.000077
0.381738  0.000058
0.383041  0.000042
0.384344  0.000038
0.385646  0.000051
0.386949  0.000068
0.388252  0.000084
0.389555  0.000095
0.390858  0.000100
0.392161  0.000099
0.393464  0.000093
0.394766  0.000084
0.396069  0.000075
0.397372  0.000070
0.398675  0.000071
0.399978  0.000078
0.401281  0.000089
0.402584  0.000099
0.403886  0.000107
0.405189  0.000109
0.406492  0.000106
0.407795  0.000097
0.409098  0.000083
0.410401  0.000067
0.411704  0.000053
0.413006  0.000046
0.414309  0.000051
0.415612  0.000062
0.416915  0.000075
0.418218  0.000085
0.419521  0.000089
0.420824  0.000088
0.422126  0.000080
0.423429  0.000068
0.424732  0.000050
0.426035  0.000031
0.427338  0.000013
0.428641  0.000019
0.429944  0.000037
0.431246  0.000053
0.432549  0.000065
0.433852  0.000072
0.435155  0.000074
0.436458  0.000072
0.437761  0.000066
0.439064  0.000057
0.440366  0.000050
0.441669  0.000047
0.442972  0.000052
0.444275  0.000061
0.445578  0.000070
0.446881  0.000077
0.448184  0.000080
0.449486  0.000079
0.450789  0.000072
0.452092  0.000062
0.453395  0.000048
0.454698  0.000036
0.456001  0.000032
0.457304  0.000041
0.458607  0.000056
0.459909  0.000072
0.461212  0.000085
0.462515  0.000094
0.463818  0.000098
0.465121  0.000095
0.466424  0.000088
