# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 10
#    norm     : ZK
# 1) Frequency, 2) Amps
5.000000  0.000003
5.001303  0.000004
5.002606  0.000005
5.003909  0.000005
5.005211  0.000006
5.006514  0.000007
5.007817  0.000008
5.009120  0.000008
5.010423  0.000008
5.011726  0.000008
5.013029  0.000008
5.014331  0.000007
5.015634  0.000007
5.016937  0.000006
5.018240  0.000005
5.019543  0.000004
5.020846  0.000003
5.022149  0.000003
5.023451  0.000003
5.024754  0.000003
5.026057  0.000003
5.027360  0.000004
5.028663  0.000004
5.029966  0.000004
5.031269  0.000004
5.032572  0.000004
5.033874  0.000004
5.035177  0.000004
5.036480  0.000003
5.037783  0.000003
5.039086  0.000002
5.040389  0.000002
5.041692  0.000001
5.042994  0.000000
5.044297  0.000001
5.045600  0.000002
5.046903  0.000003
5.048206  0.000003
5.049509  0.000004
5.050812  0.000005
5.052114  0.000005
5.053417  0.000006
5.054720  0.000006
5.056023  0.000006
5.057326  0.000007
5.058629  0.000007
5.059932  0.000007
5.061234  0.000008
5.062537  0.000008
5.063840  0.000007
5.065143  0.000007
5.066446  0.000007
5.067749  0.000006
5.069052  0.000006
5.070354  0.000006
5.071657  0.000006
5.072960  0.000006
5.074263  0.000006
5.075566  0.000006
5.076869  0.000006
5.078172  0.000006
5.079474  0.000005
5.080777  0.000004
5.082080  0.000003
5.083383  0.000001
5.084686  0.000000
5.085989  0.000002
5.087292  0.000003
5.088595  0.000004
5.089897  0.000005
5.091200  0.000006
5.092503  0.000007
5.093806  0.000007
5.095109  0.000006
5.096412  0.000006
5.097715  0.000005
5.099017  0.000004
5.100320  0.000003
5.101623  0.000001
5.102926  0.000000
5.104229  0.000001
5.105532  0.000002
5.106835  0.000003
5.108137  0.000003
5.109440  0.000004
5.110743  0.000004
5.112046  0.000004
5.113349  0.000004
5.114652  0.000004
5.115955  0.000004
5.117257  0.000004
5.118560  0.000005
5.119863  0.000005
5.121166  0.000005
5.122469  0.000005
5.123772  0.000005
5.125075  0.000005
5.126377  0.000005
5.127680  0.000004
5.128983  0.000004
5.130286  0.000003
5.131589  0.000003
5.132892  0.000003
5.134195  0.000002
5.135497  0.000002
5.136800  0.000001
5.138103  0.000002
5.139406  0.000002
5.140709  0.000004
5.142012  0.000005
5.143315  0.000006
5.144618  0.000007
5.145920  0.000008
5.147223  0.000008
5.148526  0.000008
5.149829  0.000008
5.151132  0.000008
5.152435  0.000007
5.153738  0.000006
5.155040  0.000004
5.156343  0.000003
5.157646  0.000001
5.158949  0.000000
5.160252  0.000002
5.161555  0.000003
5.162858  0.000004
5.164160  0.000005
5.165463  0.000005
5.166766  0.000006
5.168069  0.000006
5.169372  0.000007
5.170675  0.000007
5.171978  0.000007
5.173280  0.000007
5.174583  0.000007
5.175886  0.000007
5.177189  0.000006
5.178492  0.000006
5.179795  0.000005
5.181098  0.000004
5.182400  0.000002
5.183703  0.000001
5.185006  0.000001
5.186309  0.000003
5.187612  0.000004
5.188915  0.000005
5.190218  0.000006
5.191521  0.000006
5.192823  0.000006
5.194126  0.000005
5.195429  0.000004
5.196732  0.000003
5.198035  0.000002
5.199338  0.000003
5.200641  0.000004
5.201943  0.000006
5.203246  0.000008
5.204549  0.000009
5.205852  0.000010
5.207155  0.000010
5.208458  0.000010
5.209761  0.000010
5.211063  0.000009
5.212366  0.000008
5.213669  0.000006
5.214972  0.000005
5.216275  0.000004
5.217578  0.000003
5.218881  0.000003
5.220183  0.000004
5.221486  0.000005
5.222789  0.000005
5.224092  0.000005
5.225395  0.000005
5.226698  0.000004
5.228001  0.000003
5.229303  0.000002
5.230606  0.000001
5.231909  0.000001
5.233212  0.000001
5.234515  0.000002
5.235818  0.000003
5.237121  0.000004
5.238423  0.000004
5.239726  0.000004
5.241029  0.000004
5.242332  0.000003
5.243635  0.000003
5.244938  0.000002
5.246241  0.000001
5.247544  0.000001
5.248846  0.000001
5.250149  0.000002
5.251452  0.000003
5.252755  0.000003
5.254058  0.000004
5.255361  0.000004
5.256664  0.000005
5.257966  0.000005
5.259269  0.000005
5.260572  0.000004
5.261875  0.000004
5.263178  0.000004
5.264481  0.000003
5.265784  0.000003
5.267086  0.000003
5.268389  0.000003
5.269692  0.000003
5.270995  0.000003
5.272298  0.000003
5.273601  0.000002
5.274904  0.000002
5.276206  0.000001
5.277509  0.000001
5.278812  0.000001
5.280115  0.000002
5.281418  0.000002
5.282721  0.000003
5.284024  0.000003
5.285326  0.000003
5.286629  0.000002
5.287932  0.000002
5.289235  0.000001
5.290538  0.000002
5.291841  0.000003
5.293144  0.000004
5.294446  0.000005
5.295749  0.000006
5.297052  0.000007
5.298355  0.000008
5.299658  0.000008
5.300961  0.000009
5.302264  0.000008
5.303567  0.000007
5.304869  0.000006
5.306172  0.000005
5.307475  0.000004
5.308778  0.000003
5.310081  0.000002
5.311384  0.000002
5.312687  0.000003
5.313989  0.000004
5.315292  0.000005
5.316595  0.000006
5.317898  0.000006
5.319201  0.000006
5.320504  0.000006
5.321807  0.000005
5.323109  0.000005
5.324412  0.000005
5.325715  0.000004
5.327018  0.000004
5.328321  0.000004
5.329624  0.000004
5.330927  0.000004
5.332229  0.000004
5.333532  0.000004
5.334835  0.000004
5.336138  0.000005
5.337441  0.000005
5.338744  0.000005
5.340047  0.000005
5.341349  0.000005
5.342652  0.000005
5.343955  0.000005
