# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 10
#    norm     : ZK
# 1) Frequency, 2) Amps
15.000000  0.000002
15.001303  0.000003
15.002606  0.000003
15.003909  0.000003
15.005211  0.000004
15.006514  0.000005
15.007817  0.000005
15.009120  0.000006
15.010423  0.000006
15.011726  0.000006
15.013029  0.000006
15.014331  0.000006
15.015634  0.000006
15.016937  0.000005
15.018240  0.000004
15.019543  0.000003
15.020846  0.000002
15.022149  0.000000
15.023451  0.000001
15.024754  0.000002
15.026057  0.000003
15.027360  0.000004
15.028663  0.000005
15.029966  0.000005
15.031269  0.000005
15.032572  0.000005
15.033874  0.000005
15.035177  0.000006
15.036480  0.000006
15.037783  0.000007
15.039086  0.000007
15.040389  0.000008
15.041692  0.000008
15.042994  0.000008
15.044297  0.000008
15.045600  0.000008
15.046903  0.000007
15.048206  0.000006
15.049509  0.000005
15.050812  0.000004
15.052114  0.000003
15.053417  0.000002
15.054720  0.000001
15.056023  0.000001
15.057326  0.000000
15.058629  0.000000
15.059932  0.000000
15.061234  0.000001
15.062537  0.000001
15.063840  0.000002
15.065143  0.000003
15.066446  0.000003
15.067749  0.000004
15.069052  0.000005
15.070354  0.000005
15.071657  0.000005
15.072960  0.000005
15.074263  0.000005
15.075566  0.000005
15.076869  0.000005
15.078172  0.000004
15.079475  0.000004
15.080777  0.000003
15.082080  0.000003
15.083383  0.000002
15.084686  0.000002
15.085989  0.000001
15.087292  0.000001
15.088595  0.000001
15.089897  0.000002
15.091200  0.000002
15.092503  0.000003
15.093806  0.000004
15.095109  0.000005
15.096412  0.000005
15.097715  0.000006
15.099017  0.000006
15.100320  0.000006
15.101623  0.000006
15.102926  0.000006
15.104229  0.000005
15.105532  0.000005
15.106835  0.000004
15.108137  0.000004
15.109440  0.000003
15.110743  0.000003
15.112046  0.000003
15.113349  0.000003
15.114652  0.000003
15.115955  0.000003
15.117257  0.000003
15.118560  0.000003
15.119863  0.000003
15.121166  0.000003
15.122469  0.000003
15.123772  0.000003
15.125075  0.000003
15.126378  0.000004
15.127680  0.000004
15.128983  0.000004
15.130286  0.000004
15.131589  0.000004
15.132892  0.000004
15.134195  0.000004
15.135498  0.000004
15.136800  0.000003
15.138103  0.000003
15.139406  0.000003
15.140709  0.000003
15.142012  0.000004
15.143315  0.000004
15.144618  0.000004
15.145920  0.000004
15.147223  0.000004
15.148526  0.000004
15.149829  0.000003
15.151132  0.000003
15.152435  0.000002
15.153738  0.000001
15.155040  0.000001
15.156343  0.000000
15.157646  0.000000
15.158949  0.000001
15.160252  0.000001
15.161555  0.000001
15.162858  0.000001
15.164160  0.000001
15.165463  0.000002
15.166766  0.000002
15.168069  0.000002
15.169372  0.000002
15.170675  0.000003
15.171978  0.000002
15.173281  0.000002
15.174583  0.000002
15.175886  0.000002
15.177189  0.000002
15.178492  0.000003
15.179795  0.000003
15.181098  0.000004
15.182401  0.000004
15.183703  0.000004
15.185006  0.000004
15.186309  0.000004
15.187612  0.000003
15.188915  0.000002
15.190218  0.000002
15.191521  0.000003
15.192823  0.000005
15.194126  0.000007
15.195429  0.000008
15.196732  0.000010
15.198035  0.000010
15.199338  0.000011
15.200641  0.000011
15.201943  0.000011
15.203246  0.000010
15.204549  0.000008
15.205852  0.000007
15.207155  0.000005
15.208458  0.000003
15.209761  0.000002
15.211063  0.000003
15.212366  0.000004
15.213669  0.000005
15.214972  0.000005
15.216275  0.000005
15.217578  0.000005
15.218881  0.000004
15.220184  0.000003
15.221486  0.000003
15.222789  0.000003
15.224092  0.000004
15.225395  0.000005
15.226698  0.000006
15.228001  0.000007
15.229304  0.000007
15.230606  0.000007
15.231909  0.000007
15.233212  0.000006
15.234515  0.000005
15.235818  0.000004
15.237121  0.000003
15.238424  0.000002
15.239726  0.000002
15.241029  0.000003
15.242332  0.000004
15.243635  0.000006
15.244938  0.000007
15.246241  0.000008
15.247544  0.000009
15.248846  0.000009
15.250149  0.000010
15.251452  0.000010
15.252755  0.000010
15.254058  0.000010
15.255361  0.000009
15.256664  0.000008
15.257966  0.000007
15.259269  0.000006
15.260572  0.000005
15.261875  0.000004
15.263178  0.000003
15.264481  0.000003
15.265784  0.000002
15.267086  0.000002
15.268389  0.000002
15.269692  0.000001
15.270995  0.000000
15.272298  0.000001
15.273601  0.000002
15.274904  0.000003
15.276207  0.000005
15.277509  0.000006
15.278812  0.000007
15.280115  0.000007
15.281418  0.000007
15.282721  0.000007
15.284024  0.000006
15.285327  0.000005
15.286629  0.000004
15.287932  0.000002
15.289235  0.000001
15.290538  0.000001
15.291841  0.000003
15.293144  0.000004
15.294447  0.000005
15.295749  0.000006
15.297052  0.000006
15.298355  0.000006
15.299658  0.000006
15.300961  0.000005
15.302264  0.000004
15.303567  0.000004
15.304869  0.000003
15.306172  0.000003
15.307475  0.000004
15.308778  0.000004
15.310081  0.000005
15.311384  0.000005
15.312687  0.000005
15.313989  0.000005
15.315292  0.000005
15.316595  0.000005
15.317898  0.000004
15.319201  0.000004
15.320504  0.000004
15.321807  0.000003
15.323110  0.000003
15.324412  0.000003
15.325715  0.000003
15.327018  0.000003
15.328321  0.000003
15.329624  0.000003
15.330927  0.000003
15.332230  0.000003
15.333532  0.000004
15.334835  0.000004
15.336138  0.000004
15.337441  0.000004
15.338744  0.000004
15.340047  0.000004
15.341350  0.000005
15.342652  0.000005
15.343955  0.000005
15.345258  0.000004
15.346561  0.000004
15.347864  0.000004
15.349167  0.000003
15.350470  0.000002
15.351772  0.000002
15.353075  0.000001
15.354378  0.000001
15.355681  0.000001
15.356984  0.000002
15.358287  0.000002
15.359590  0.000002
15.360892  0.000001
15.362195  0.000001
15.363498  0.000001
15.364801  0.000002
15.366104  0.000003
15.367407  0.000004
15.368710  0.000004
15.370013  0.000005
15.371315  0.000006
15.372618  0.000006
15.373921  0.000006
15.375224  0.000006
15.376527  0.000006
15.377830  0.000006
15.379133  0.000005
15.380435  0.000005
15.381738  0.000005
15.383041  0.000005
15.384344  0.000005
15.385647  0.000005
15.386950  0.000004
15.388253  0.000004
15.389555  0.000003
15.390858  0.000002
15.392161  0.000001
15.393464  0.000001
15.394767  0.000001
15.396070  0.000002
15.397373  0.000003
15.398675  0.000003
15.399978  0.000003
15.401281  0.000002
15.402584  0.000001
15.403887  0.000001
15.405190  0.000002
15.406493  0.000004
15.407795  0.000005
15.409098  0.000007
15.410401  0.000008
15.411704  0.000009
15.413007  0.000010
15.414310  0.000010
15.415613  0.000010
15.416916  0.000009
15.418218  0.000007
15.419521  0.000006
15.420824  0.000004
15.422127  0.000001
15.423430  0.000001
15.424733  0.000003
15.426036  0.000005
15.427338  0.000007
15.428641  0.000008
15.429944  0.000009
15.431247  0.000010
15.432550  0.000010
15.433853  0.000010
15.435156  0.000009
15.436458  0.000008
15.437761  0.000007
15.439064  0.000006
15.440367  0.000005
15.441670  0.000004
15.442973  0.000003
15.444276  0.000002
15.445578  0.000001
15.446881  0.000001
15.448184  0.000000
15.449487  0.000000
15.450790  0.000001
15.452093  0.000001
15.453396  0.000001
15.454698  0.000002
15.456001  0.000002
15.457304  0.000003
15.458607  0.000003
15.459910  0.000004
15.461213  0.000004
15.462516  0.000004
15.463819  0.000004
15.465121  0.000004
15.466424  0.000004
15.467727  0.000003
15.469030  0.000004
15.470333  0.000004
15.471636  0.000005
15.472939  0.000006
15.474241  0.000007
15.475544  0.000007
15.476847  0.000008
15.478150  0.000008
15.479453  0.000008
15.480756  0.000007
15.482059  0.000006
15.483361  0.000005
15.484664  0.000003
15.485967  0.000002
15.487270  0.000002
15.488573  0.000003
15.489876  0.000005
15.491179  0.000006
15.492481  0.000007
15.493784  0.000007
15.495087  0.000007
15.496390  0.000007
15.497693  0.000007
15.498996  0.000006
15.500299  0.000005
15.501601  0.000004
15.502904  0.000002
15.504207  0.000001
15.505510  0.000001
15.506813  0.000002
15.508116  0.000002
15.509419  0.000003
15.510721  0.000003
15.512024  0.000003
15.513327  0.000004
15.514630  0.000004
15.515933  0.000004
15.517236  0.000004
15.518539  0.000004
15.519842  0.000004
15.521144  0.000003
15.522447  0.000003
15.523750  0.000003
15.525053  0.000002
15.526356  0.000002
15.527659  0.000001
15.528962  0.000001
15.530264  0.000001
15.531567  0.000001
15.532870  0.000001
15.534173  0.000002
15.535476  0.000002
15.536779  0.000002
15.538082  0.000002
15.539384  0.000002
15.540687  0.000002
15.541990  0.000002
15.543293  0.000003
15.544596  0.000003
15.545899  0.000004
15.547202  0.000004
15.548504  0.000005
15.549807  0.000005
15.551110  0.000006
15.552413  0.000007
15.553716  0.000007
15.555019  0.000007
15.556322  0.000007
15.557624  0.000006
15.558927  0.000005
15.560230  0.000004
15.561533  0.000003
15.562836  0.000002
15.564139  0.000001
15.565442  0.000000
15.566745  0.000001
15.568047  0.000002
15.569350  0.000003
15.570653  0.000004
15.571956  0.000004
15.573259  0.000004
15.574562  0.000004
15.575865  0.000003
15.577167  0.000003
15.578470  0.000002
15.579773  0.000002
15.581076  0.000001
15.582379  0.000001
15.583682  0.000002
15.584985  0.000002
15.586287  0.000003
15.587590  0.000003
15.588893  0.000004
15.590196  0.000005
15.591499  0.000005
15.592802  0.000006
15.594105  0.000006
15.595407  0.000006
15.596710  0.000006
15.598013  0.000005
15.599316  0.000004
15.600619  0.000003
15.601922  0.000002
15.603225  0.000000
15.604527  0.000002
15.605830  0.000003
15.607133  0.000005
15.608436  0.000006
15.609739  0.000007
15.611042  0.000007
15.612345  0.000007
15.613648  0.000007
15.614950  0.000007
15.616253  0.000006
15.617556  0.000005
15.618859  0.000004
15.620162  0.000003
15.621465  0.000002
15.622768  0.000001
15.624070  0.000002
15.625373  0.000002
15.626676  0.000003
15.627979  0.000003
15.629282  0.000003
15.630585  0.000004
15.631888  0.000004
15.633190  0.000004
15.634493  0.000004
15.635796  0.000004
15.637099  0.000003
15.638402  0.000003
15.639705  0.000002
15.641008  0.000002
15.642310  0.000002
15.643613  0.000003
15.644916  0.000004
15.646219  0.000005
15.647522  0.000006
15.648825  0.000006
15.650128  0.000007
15.651430  0.000007
15.652733  0.000007
15.654036  0.000007
15.655339  0.000007
15.656642  0.000006
15.657945  0.000005
15.659248  0.000004
15.660551  0.000003
15.661853  0.000002
15.663156  0.000002
15.664459  0.000001
15.665762  0.000002
15.667065  0.000002
15.668368  0.000002
15.669671  0.000002
15.670973  0.000003
15.672276  0.000003
15.673579  0.000004
15.674882  0.000004
15.676185  0.000005
15.677488  0.000005
15.678791  0.000005
15.680093  0.000006
15.681396  0.000006
15.682699  0.000006
15.684002  0.000006
15.685305  0.000005
15.686608  0.000005
15.687911  0.000004
15.689213  0.000003
15.690516  0.000002
15.691819  0.000001
15.693122  0.000002
15.694425  0.000003
15.695728  0.000004
15.697031  0.000005
15.698333  0.000005
15.699636  0.000005
15.700939  0.000005
15.702242  0.000005
15.703545  0.000005
15.704848  0.000004
15.706151  0.000004
15.707454  0.000005
15.708756  0.000005
15.710059  0.000006
15.711362  0.000007
15.712665  0.000007
15.713968  0.000008
15.715271  0.000008
15.716574  0.000008
15.717876  0.000007
15.719179  0.000006
15.720482  0.000006
15.721785  0.000005
15.723088  0.000004
15.724391  0.000004
15.725694  0.000004
15.726996  0.000003
15.728299  0.000003
15.729602  0.000003
15.730905  0.000002
15.732208  0.000002
15.733511  0.000003
15.734814  0.000004
15.736116  0.000005
15.737419  0.000006
15.738722  0.000007
15.740025  0.000008
15.741328  0.000009
15.742631  0.000009
15.743934  0.000009
15.745236  0.000009
15.746539  0.000008
15.747842  0.000008
15.749145  0.000007
15.750448  0.000006
15.751751  0.000005
15.753054  0.000004
15.754356  0.000003
15.755659  0.000002
15.756962  0.000002
15.758265  0.000001
15.759568  0.000001
15.760871  0.000001
15.762174  0.000002
15.763477  0.000002
15.764779  0.000003
15.766082  0.000003
15.767385  0.000003
15.768688  0.000003
15.769991  0.000003
15.771294  0.000003
15.772597  0.000003
15.773899  0.000003
15.775202  0.000003
15.776505  0.000004
15.777808  0.000004
15.779111  0.000005
15.780414  0.000005
15.781717  0.000005
15.783019  0.000005
15.784322  0.000004
15.785625  0.000003
15.786928  0.000002
15.788231  0.000001
15.789534  0.000000
15.790837  0.000002
15.792139  0.000003
15.793442  0.000004
15.794745  0.000004
15.796048  0.000005
15.797351  0.000005
15.798654  0.000005
15.799957  0.000005
15.801259  0.000004
15.802562  0.000004
15.803865  0.000003
15.805168  0.000003
15.806471  0.000002
15.807774  0.000002
15.809077  0.000002
15.810380  0.000001
15.811682  0.000001
15.812985  0.000002
15.814288  0.000002
15.815591  0.000002
15.816894  0.000002
15.818197  0.000002
15.819500  0.000002
15.820802  0.000002
15.822105  0.000001
15.823408  0.000001
15.824711  0.000000
15.826014  0.000001
15.827317  0.000002
15.828620  0.000002
15.829922  0.000003
15.831225  0.000004
15.832528  0.000004
15.833831  0.000004
15.835134  0.000004
15.836437  0.000004
15.837740  0.000004
15.839042  0.000003
15.840345  0.000003
15.841648  0.000002
15.842951  0.000001
15.844254  0.000001
15.845557  0.000000
15.846860  0.000001
15.848162  0.000001
15.849465  0.000001
15.850768  0.000002
15.852071  0.000002
15.853374  0.000002
15.854677  0.000002
15.855980  0.000002
15.857283  0.000002
15.858585  0.000002
15.859888  0.000002
15.861191  0.000002
15.862494  0.000001
15.863797  0.000001
15.865100  0.000001
15.866403  0.000001
15.867705  0.000001
15.869008  0.000002
15.870311  0.000002
15.871614  0.000002
15.872917  0.000002
15.874220  0.000002
15.875523  0.000002
15.876825  0.000002
15.878128  0.000001
15.879431  0.000001
15.880734  0.000002
15.882037  0.000002
15.883340  0.000003
15.884643  0.000004
15.885945  0.000005
15.887248  0.000005
15.888551  0.000006
15.889854  0.000006
15.891157  0.000007
15.892460  0.000007
15.893763  0.000007
15.895065  0.000007
15.896368  0.000007
15.897671  0.000007
15.898974  0.000006
15.900277  0.000006
15.901580  0.000006
15.902883  0.000005
15.904186  0.000005
15.905488  0.000004
15.906791  0.000003
15.908094  0.000003
15.909397  0.000002
15.910700  0.000001
15.912003  0.000001
15.913306  0.000001
15.914608  0.000002
15.915911  0.000003
15.917214  0.000004
15.918517  0.000005
15.919820  0.000005
15.921123  0.000005
15.922426  0.000006
15.923728  0.000006
15.925031  0.000005
15.926334  0.000005
15.927637  0.000005
15.928940  0.000005
15.930243  0.000005
15.931546  0.000005
15.932848  0.000004
15.934151  0.000004
15.935454  0.000004
15.936757  0.000004
15.938060  0.000003
15.939363  0.000002
15.940666  0.000002
15.941968  0.000002
15.943271  0.000003
15.944574  0.000004
15.945877  0.000005
15.947180  0.000005
15.948483  0.000006
15.949786  0.000006
15.951089  0.000006
15.952391  0.000006
15.953694  0.000005
15.954997  0.000004
15.956300  0.000003
15.957603  0.000002
15.958906  0.000002
15.960209  0.000003
15.961511  0.000004
15.962814  0.000005
15.964117  0.000006
15.965420  0.000007
15.966723  0.000008
15.968026  0.000008
15.969329  0.000008
15.970631  0.000008
15.971934  0.000008
15.973237  0.000008
15.974540  0.000007
15.975843  0.000007
15.977146  0.000006
15.978449  0.000006
15.979751  0.000006
15.981054  0.000005
15.982357  0.000005
15.983660  0.000005
15.984963  0.000005
15.986266  0.000005
15.987569  0.000005
15.988871  0.000005
15.990174  0.000005
15.991477  0.000004
15.992780  0.000004
15.994083  0.000003
15.995386  0.000002
