# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 10
#    norm     : ZK
# 1) Frequency, 2) Amps
20.000000  0.000010
20.001303  0.000005
20.002606  0.000003
20.003909  0.000009
20.005211  0.000015
20.006514  0.000021
20.007817  0.000027
20.009120  0.000031
20.010423  0.000033
20.011726  0.000034
20.013029  0.000033
20.014331  0.000030
20.015634  0.000026
20.016937  0.000021
20.018240  0.000015
20.019543  0.000010
20.020846  0.000007
20.022149  0.000007
20.023451  0.000010
20.024754  0.000011
20.026057  0.000012
20.027360  0.000011
20.028663  0.000011
20.029966  0.000011
20.031269  0.000014
20.032571  0.000017
20.033874  0.000020
20.035177  0.000023
20.036480  0.000024
20.037783  0.000023
20.039086  0.000020
20.040389  0.000015
20.041692  0.000011
20.042994  0.000013
20.044297  0.000022
20.045600  0.000033
20.046903  0.000044
20.048206  0.000055
20.049509  0.000064
20.050812  0.000071
20.052114  0.000074
20.053417  0.000075
20.054720  0.000072
20.056023  0.000066
20.057326  0.000058
20.058629  0.000048
20.059932  0.000036
20.061234  0.000025
20.062537  0.000017
20.063840  0.000017
20.065143  0.000023
20.066446  0.000029
20.067749  0.000034
20.069052  0.000036
20.070354  0.000036
20.071657  0.000034
20.072960  0.000030
20.074263  0.000027
20.075566  0.000023
20.076869  0.000022
20.078172  0.000023
20.079474  0.000026
20.080777  0.000029
20.082080  0.000031
20.083383  0.000033
20.084686  0.000033
20.085989  0.000032
20.087292  0.000030
20.088594  0.000028
20.089897  0.000025
20.091200  0.000023
20.092503  0.000020
20.093806  0.000018
20.095109  0.000016
20.096412  0.000015
20.097714  0.000013
20.099017  0.000011
20.100320  0.000009
20.101623  0.000008
20.102926  0.000007
20.104229  0.000007
20.105532  0.000008
20.106835  0.000010
20.108137  0.000013
20.109440  0.000016
20.110743  0.000019
20.112046  0.000021
20.113349  0.000021
20.114652  0.000021
20.115955  0.000019
20.117257  0.000016
20.118560  0.000015
20.119863  0.000018
20.121166  0.000026
20.122469  0.000037
20.123772  0.000049
20.125075  0.000060
20.126377  0.000070
20.127680  0.000078
20.128983  0.000084
20.130286  0.000085
20.131589  0.000084
20.132892  0.000078
20.134195  0.000069
20.135497  0.000056
20.136800  0.000042
20.138103  0.000026
20.139406  0.000010
20.140709  0.000008
20.142012  0.000022
20.143315  0.000033
20.144617  0.000042
20.145920  0.000047
20.147223  0.000049
20.148526  0.000047
20.149829  0.000042
20.151132  0.000036
20.152435  0.000030
20.153737  0.000027
20.155040  0.000029
20.156343  0.000035
20.157646  0.000041
20.158949  0.000046
20.160252  0.000049
20.161555  0.000050
20.162857  0.000048
20.164160  0.000043
20.165463  0.000037
20.166766  0.000030
20.168069  0.000022
20.169372  0.000014
20.170675  0.000006
20.171977  0.000003
20.173280  0.000007
20.174583  0.000012
20.175886  0.000015
20.177189  0.000017
20.178492  0.000019
20.179795  0.000020
20.181098  0.000020
20.182400  0.000020
20.183703  0.000019
20.185006  0.000017
20.186309  0.000015
20.187612  0.000013
20.188915  0.000013
20.190218  0.000015
20.191520  0.000018
20.192823  0.000022
20.194126  0.000026
20.195429  0.000030
20.196732  0.000033
20.198035  0.000037
20.199338  0.000042
20.200640  0.000049
20.201943  0.000057
20.203246  0.000067
20.204549  0.000077
20.205852  0.000087
20.207155  0.000095
20.208458  0.000101
20.209760  0.000104
20.211063  0.000105
20.212366  0.000102
20.213669  0.000096
20.214972  0.000088
20.216275  0.000078
20.217578  0.000068
20.218880  0.000057
20.220183  0.000047
20.221486  0.000038
20.222789  0.000030
20.224092  0.000022
20.225395  0.000015
20.226698  0.000007
20.228000  0.000004
20.229303  0.000012
20.230606  0.000022
20.231909  0.000031
20.233212  0.000038
20.234515  0.000044
20.235818  0.000047
20.237120  0.000047
20.238423  0.000045
20.239726  0.000039
20.241029  0.000031
20.242332  0.000022
20.243635  0.000011
20.244938  0.000005
20.246241  0.000012
20.247543  0.000020
20.248846  0.000027
20.250149  0.000031
20.251452  0.000032
20.252755  0.000031
20.254058  0.000029
20.255361  0.000025
20.256663  0.000020
20.257966  0.000016
20.259269  0.000014
20.260572  0.000013
20.261875  0.000012
20.263178  0.000013
20.264481  0.000015
20.265783  0.000019
20.267086  0.000025
20.268389  0.000030
20.269692  0.000035
20.270995  0.000037
20.272298  0.000036
20.273601  0.000031
20.274903  0.000022
20.276206  0.000007
20.277509  0.000013
20.278812  0.000037
20.280115  0.000063
20.281418  0.000091
20.282721  0.000119
20.284023  0.000145
20.285326  0.000168
20.286629  0.000185
20.287932  0.000196
20.289235  0.000200
20.290538  0.000196
20.291841  0.000185
20.293143  0.000166
20.294446  0.000142
20.295749  0.000114
20.297052  0.000084
20.298355  0.000053
20.299658  0.000025
20.300961  0.000015
20.302263  0.000032
20.303566  0.000048
20.304869  0.000059
20.306172  0.000064
20.307475  0.000064
20.308778  0.000060
20.310081  0.000053
20.311384  0.000045
20.312686  0.000039
20.313989  0.000035
20.315292  0.000036
20.316595  0.000038
20.317898  0.000039
20.319201  0.000040
20.320504  0.000039
20.321806  0.000036
20.323109  0.000033
20.324412  0.000029
20.325715  0.000026
20.327018  0.000023
20.328321  0.000020
20.329624  0.000017
20.330926  0.000013
20.332229  0.000008
20.333532  0.000006
20.334835  0.000010
20.336138  0.000016
20.337441  0.000020
20.338744  0.000023
20.340046  0.000025
20.341349  0.000025
20.342652  0.000026
20.343955  0.000030
20.345258  0.000035
20.346561  0.000042
20.347864  0.000048
20.349166  0.000052
20.350469  0.000052
20.351772  0.000051
20.353075  0.000052
20.354378  0.000061
20.355681  0.000083
20.356984  0.000115
20.358286  0.000153
20.359589  0.000194
20.360892  0.000234
20.362195  0.000269
20.363498  0.000298
20.364801  0.000316
20.366104  0.000323
20.367406  0.000316
20.368709  0.000296
20.370012  0.000263
20.371315  0.000220
20.372618  0.000169
20.373921  0.000115
20.375224  0.000069
20.376526  0.000058
20.377829  0.000087
20.379132  0.000121
20.380435  0.000146
20.381738  0.000158
20.383041  0.000156
20.384344  0.000141
20.385647  0.000112
20.386949  0.000075
20.388252  0.000035
20.389555  0.000026
20.390858  0.000063
20.392161  0.000099
20.393464  0.000125
20.394767  0.000139
20.396069  0.000139
20.397372  0.000125
20.398675  0.000098
20.399978  0.000061
20.401281  0.000017
20.402584  0.000029
20.403887  0.000074
20.405189  0.000111
20.406492  0.000138
20.407795  0.000150
20.409098  0.000146
20.410401  0.000125
20.411704  0.000089
20.413007  0.000040
20.414309  0.000022
20.415612  0.000081
20.416915  0.000140
