# Generalized Lomb-Scargle periodogram
# Parameters:
#    ofac     : 1
#    norm     : ZK
# 1) Frequency, 2) Amps
4.090983  0.000006
4.104011  0.000009
4.117040  0.000008
4.130068  0.000010
4.143097  0.000002
4.156126  0.000001
4.169154  0.000008
4.182183  0.000004
4.195211  0.000004
4.208240  0.000011
4.221269  0.000005
4.234297  0.000007
4.247326  0.000002
4.260354  0.000005
4.273383  0.000003
4.286412  0.000004
4.299440  0.000007
4.312469  0.000005
4.325498  0.000003
4.338526  0.000004
4.351555  0.000006
4.364583  0.000006
4.377612  0.000003
4.390641  0.000004
4.403669  0.000003
4.416698  0.000004
4.429726  0.000007
4.442755  0.000003
4.455784  0.000009
4.468812  0.000009
4.481841  0.000004
4.494869  0.000007
4.507898  0.000009
4.520927  0.000014
4.533955  0.000004
4.546984  0.000007
4.560012  0.000012
4.573041  0.000004
4.586070  0.000002
4.599098  0.000003
4.612127  0.000004
4.625155  0.000005
4.638184  0.000002
4.651213  0.000004
4.664241  0.000004
4.677270  0.000005
4.690299  0.000002
4.703327  0.000010
4.716356  0.000009
4.729384  0.000003
4.742413  0.000005
4.755442  0.000005
4.768470  0.000008
4.781499  0.000008
4.794527  0.000005
4.807556  0.000001
4.820585  0.000006
4.833613  0.000004
4.846642  0.000007
4.859670  0.000003
4.872699  0.000003
4.885728  0.000004
4.898756  0.000002
4.911785  0.000004
4.924813  0.000004
4.937842  0.000004
4.950871  0.000004
4.963899  0.000003
4.976928  0.000001
4.989956  0.000002
5.002985  0.000006
5.016014  0.000011
5.029042  0.000005
5.042071  0.000005
5.055099  0.000003
5.068128  0.000005
5.081157  0.000006
5.094185  0.000006
5.107214  0.000005
5.120243  0.000009
5.133271  0.000004
5.146300  0.000001
5.159328  0.000008
5.172357  0.000007
5.185386  0.000008
5.198414  0.000001
5.211443  0.000004
5.224471  0.000003
5.237500  0.000009
5.250529  0.000004
5.263557  0.000005
5.276586  0.000011
5.289614  0.000006
5.302643  0.000006
5.315672  0.000003
5.328700  0.000003
5.341729  0.000003
5.354757  0.000008
5.367786  0.000004
5.380815  0.000006
5.393843  0.000008
5.406872  0.000006
5.419900  0.000004
5.432929  0.000002
5.445958  0.000011
5.458986  0.000006
5.472015  0.000004
5.485044  0.000004
5.498072  0.000006
5.511101  0.000010
5.524129  0.000009
5.537158  0.000009
5.550187  0.000009
5.563215  0.000004
5.576244  0.000006
5.589272  0.000004
5.602301  0.000004
5.615330  0.000001
5.628358  0.000004
5.641387  0.000008
5.654415  0.000004
5.667444  0.000010
5.680473  0.000004
5.693501  0.000008
5.706530  0.000005
5.719558  0.000006
5.732587  0.000005
5.745616  0.000007
5.758644  0.000007
5.771673  0.000006
5.784701  0.000007
5.797730  0.000004
5.810759  0.000003
5.823787  0.000001
5.836816  0.000007
5.849845  0.000005
5.862873  0.000003
5.875902  0.000006
5.888930  0.000004
5.901959  0.000007
5.914988  0.000009
5.928016  0.000007
5.941045  0.000007
5.954073  0.000007
5.967102  0.000008
5.980131  0.000004
5.993159  0.000005
6.006188  0.000010
6.019216  0.000004
6.032245  0.000006
6.045274  0.000003
6.058302  0.000003
6.071331  0.000010
6.084359  0.000006
6.097388  0.000003
6.110417  0.000002
6.123445  0.000007
6.136474  0.000002
6.149502  0.000001
6.162531  0.000004
6.175560  0.000004
6.188588  0.000000
6.201617  0.000007
6.214646  0.000004
6.227674  0.000002
6.240703  0.000009
6.253731  0.000003
6.266760  0.000002
6.279789  0.000003
6.292817  0.000007
6.305846  0.000008
6.318874  0.000004
6.331903  0.000002
6.344932  0.000005
6.357960  0.000001
6.370989  0.000011
6.384017  0.000008
6.397046  0.000009
6.410075  0.000009
6.423103  0.000004
6.436132  0.000002
6.449160  0.000001
6.462189  0.000004
6.475218  0.000001
6.488246  0.000005
6.501275  0.000006
6.514303  0.000006
6.527332  0.000002
6.540361  0.000005
6.553389  0.000002
6.566418  0.000003
6.579447  0.000007
6.592475  0.000008
6.605504  0.000010
6.618532  0.000002
6.631561  0.000008
6.644590  0.000005
6.657618  0.000003
6.670647  0.000006
6.683675  0.000004
6.696704  0.000003
6.709733  0.000006
6.722761  0.000006
6.735790  0.000003
6.748818  0.000004
6.761847  0.000008
6.774876  0.000003
6.787904  0.000003
6.800933  0.000001
6.813961  0.000010
6.826990  0.000006
6.840019  0.000007
6.853047  0.000004
6.866076  0.000003
6.879104  0.000006
6.892133  0.000005
6.905162  0.000007
6.918190  0.000006
6.931219  0.000009
6.944248  0.000002
6.957276  0.000002
6.970305  0.000005
6.983333  0.000004
6.996362  0.000004
7.009391  0.000009
7.022419  0.000002
7.035448  0.000005
7.048476  0.000002
7.061505  0.000008
7.074534  0.000009
7.087562  0.000006
7.100591  0.000002
7.113619  0.000003
7.126648  0.000007
7.139677  0.000005
7.152705  0.000003
7.165734  0.000001
7.178762  0.000004
7.191791  0.000005
7.204820  0.000002
7.217848  0.000005
7.230877  0.000001
7.243905  0.000004
7.256934  0.000005
7.269963  0.000002
7.282991  0.000010
7.296020  0.000007
7.309049  0.000002
7.322077  0.000006
7.335106  0.000008
7.348134  0.000006
7.361163  0.000004
7.374192  0.000007
7.387220  0.000012
7.400249  0.000004
7.413277  0.000002
7.426306  0.000003
7.439335  0.000006
7.452363  0.000006
7.465392  0.000007
7.478420  0.000001
7.491449  0.000008
7.504478  0.000003
7.517506  0.000005
7.530535  0.000002
7.543563  0.000004
7.556592  0.000005
7.569621  0.000007
7.582649  0.000010
7.595678  0.000009
7.608706  0.000002
7.621735  0.000000
7.634764  0.000004
7.647792  0.000008
7.660821  0.000004
7.673849  0.000009
7.686878  0.000005
7.699907  0.000007
7.712935  0.000004
7.725964  0.000005
7.738993  0.000004
7.752021  0.000005
7.765050  0.000004
7.778078  0.000004
7.791107  0.000012
7.804136  0.000007
7.817164  0.000003
7.830193  0.000007
7.843221  0.000004
7.856250  0.000002
7.869279  0.000002
7.882307  0.000005
7.895336  0.000004
7.908364  0.000005
7.921393  0.000004
7.934422  0.000008
7.947450  0.000002
7.960479  0.000007
7.973507  0.000001
7.986536  0.000008
7.999565  0.000005
8.012593  0.000002
8.025622  0.000009
8.038650  0.000004
8.051679  0.000011
8.064708  0.000004
8.077736  0.000003
8.090765  0.000005
8.103794  0.000002
8.116822  0.000007
8.129851  0.000009
8.142879  0.000007
8.155908  0.000006
8.168937  0.000005
8.181965  0.000003
8.194994  0.000005
8.208022  0.000002
8.221051  0.000005
8.234080  0.000003
8.247108  0.000002
8.260137  0.000001
8.273165  0.000002
8.286194  0.000002
8.299223  0.000010
8.312251  0.000008
8.325280  0.000005
8.338308  0.000001
8.351337  0.000002
8.364366  0.000002
8.377394  0.000004
8.390423  0.000009
8.403451  0.000004
8.416480  0.000007
8.429509  0.000004
8.442537  0.000006
8.455566  0.000007
8.468595  0.000004
8.481623  0.000008
8.494652  0.000001
8.507680  0.000011
8.520709  0.000005
8.533738  0.000008
8.546766  0.000004
8.559795  0.000001
8.572823  0.000001
8.585852  0.000005
8.598881  0.000004
8.611909  0.000003
8.624938  0.000006
8.637966  0.000002
8.650995  0.000005
8.664024  0.000005
8.677052  0.000004
8.690081  0.000005
8.703109  0.000005
8.716138  0.000002
8.729167  0.000006
8.742195  0.000005
8.755224  0.000001
8.768252  0.000006
8.781281  0.000008
8.794310  0.000005
8.807338  0.000007
8.820367  0.000005
8.833396  0.000003
8.846424  0.000009
8.859453  0.000005
8.872481  0.000004
8.885510  0.000003
8.898539  0.000001
8.911567  0.000003
8.924596  0.000004
8.937624  0.000007
8.950653  0.000003
8.963682  0.000006
8.976710  0.000003
8.989739  0.000000
9.002767  0.000007
9.015796  0.000005
9.028825  0.000005
9.041853  0.000003
9.054882  0.000002
9.067910  0.000009
9.080939  0.000003
9.093968  0.000004
9.106996  0.000005
9.120025  0.000002
9.133053  0.000008
9.146082  0.000005
9.159111  0.000009
9.172139  0.000005
9.185168  0.000005
9.198197  0.000001
9.211225  0.000004
9.224254  0.000005
9.237282  0.000008
9.250311  0.000003
9.263340  0.000004
9.276368  0.000005
9.289397  0.000005
9.302425  0.000003
9.315454  0.000008
9.328483  0.000002
9.341511  0.000001
9.354540  0.000002
9.367568  0.000002
9.380597  0.000006
9.393626  0.000006
9.406654  0.000005
9.419683  0.000006
9.432711  0.000005
9.445740  0.000004
9.458769  0.000002
9.471797  0.000004
9.484826  0.000005
9.497854  0.000005
9.510883  0.000004
9.523912  0.000006
9.536940  0.000007
9.549969  0.000006
9.562998  0.000002
9.576026  0.000006
9.589055  0.000011
9.602083  0.000003
9.615112  0.000009
9.628141  0.000005
9.641169  0.000004
9.654198  0.000005
9.667226  0.000009
9.680255  0.000005
9.693284  0.000007
9.706312  0.000003
9.719341  0.000005
9.732369  0.000007
9.745398  0.000003
9.758427  0.000006
9.771455  0.000009
9.784484  0.000001
9.797512  0.000002
9.810541  0.000009
9.823570  0.000005
9.836598  0.000003
9.849627  0.000005
9.862655  0.000002
9.875684  0.000001
9.888713  0.000003
9.901741  0.000008
9.914770  0.000010
9.927798  0.000006
9.940827  0.000004
9.953856  0.000006
9.966884  0.000011
9.979913  0.000006
9.992942  0.000003
10.005970  0.000003
10.018999  0.000005
10.032027  0.000009
10.045056  0.000001
10.058085  0.000007
10.071113  0.000008
10.084142  0.000006
10.097170  0.000006
10.110199  0.000010
10.123228  0.000008
10.136256  0.000002
10.149285  0.000003
10.162313  0.000007
10.175342  0.000004
10.188371  0.000006
10.201399  0.000003
10.214428  0.000001
10.227456  0.000009
10.240485  0.000008
10.253514  0.000004
10.266542  0.000006
10.279571  0.000003
10.292599  0.000006
10.305628  0.000007
10.318657  0.000007
10.331685  0.000004
10.344714  0.000001
10.357743  0.000004
10.370771  0.000003
10.383800  0.000005
10.396828  0.000006
10.409857  0.000004
10.422886  0.000004
10.435914  0.000008
10.448943  0.000001
10.461971  0.000002
10.475000  0.000004
10.488029  0.000009
10.501057  0.000006
10.514086  0.000006
10.527114  0.000006
10.540143  0.000012
10.553172  0.000007
10.566200  0.000004
10.579229  0.000007
10.592257  0.000006
10.605286  0.000008
10.618315  0.000004
10.631343  0.000014
10.644372  0.000002
10.657400  0.000009
10.670429  0.000003
10.683458  0.000005
10.696486  0.000002
10.709515  0.000006
10.722544  0.000008
10.735572  0.000004
10.748601  0.000001
10.761629  0.000003
10.774658  0.000004
10.787687  0.000003
10.800715  0.000006
10.813744  0.000006
10.826772  0.000007
10.839801  0.000002
10.852830  0.000010
10.865858  0.000001
10.878887  0.000006
10.891915  0.000003
10.904944  0.000005
10.917973  0.000003
10.931001  0.000007
10.944030  0.000003
10.957058  0.000003
10.970087  0.000004
10.983116  0.000005
10.996144  0.000007
11.009173  0.000006
11.022201  0.000003
11.035230  0.000008
11.048259  0.000008
11.061287  0.000008
11.074316  0.000007
11.087345  0.000007
11.100373  0.000002
11.113402  0.000005
11.126430  0.000007
11.139459  0.000006
11.152488  0.000005
11.165516  0.000001
11.178545  0.000003
11.191573  0.000008
11.204602  0.000005
11.217631  0.000004
11.230659  0.000003
11.243688  0.000005
11.256716  0.000002
11.269745  0.000001
11.282774  0.000003
11.295802  0.000002
11.308831  0.000007
11.321859  0.000006
11.334888  0.000003
11.347917  0.000003
11.360945  0.000006
11.373974  0.000006
11.387002  0.000007
11.400031  0.000003
11.413060  0.000005
11.426088  0.000004
11.439117  0.000007
11.452146  0.000001
11.465174  0.000003
11.478203  0.000003
11.491231  0.000002
11.504260  0.000005
11.517289  0.000006
11.530317  0.000008
11.543346  0.000006
11.556374  0.000005
11.569403  0.000001
11.582432  0.000002
11.595460  0.000009
11.608489  0.000010
11.621517  0.000011
11.634546  0.000012
11.647575  0.000006
11.660603  0.000004
11.673632  0.000004
11.686660  0.000003
11.699689  0.000012
11.712718  0.000004
11.725746  0.000005
11.738775  0.000010
11.751803  0.000006
11.764832  0.000006
11.777861  0.000004
11.790889  0.000011
11.803918  0.000006
11.816947  0.000003
11.829975  0.000003
11.843004  0.000006
11.856032  0.000005
11.869061  0.000005
11.882090  0.000003
11.895118  0.000006
11.908147  0.000008
11.921175  0.000005
11.934204  0.000003
11.947233  0.000002
11.960261  0.000004
11.973290  0.000004
11.986318  0.000007
11.999347  0.000004
12.012376  0.000012
12.025404  0.000005
12.038433  0.000007
12.051461  0.000003
12.064490  0.000007
12.077519  0.000002
12.090547  0.000003
12.103576  0.000005
12.116604  0.000004
12.129633  0.000011
12.142662  0.000005
12.155690  0.000002
12.168719  0.000004
12.181748  0.000009
12.194776  0.000006
12.207805  0.000010
12.220833  0.000003
12.233862  0.000006
12.246891  0.000003
12.259919  0.000003
12.272948  0.000003
12.285976  0.000002
12.299005  0.000001
12.312034  0.000008
12.325062  0.000009
12.338091  0.000004
12.351119  0.000007
12.364148  0.000002
12.377177  0.000006
12.390205  0.000008
12.403234  0.000007
12.416262  0.000009
12.429291  0.000007
12.442320  0.000008
12.455348  0.000006
12.468377  0.000003
12.481405  0.000003
12.494434  0.000006
12.507463  0.000003
12.520491  0.000003
12.533520  0.000007
12.546548  0.000005
12.559577  0.000006
12.572606  0.000012
12.585634  0.000002
12.598663  0.000001
12.611692  0.000007
12.624720  0.000002
12.637749  0.000008
12.650777  0.000006
12.663806  0.000008
12.676835  0.000004
12.689863  0.000006
12.702892  0.000009
12.715920  0.000001
12.728949  0.000007
12.741978  0.000003
12.755006  0.000005
12.768035  0.000007
12.781063  0.000003
12.794092  0.000007
12.807121  0.000010
12.820149  0.000005
12.833178  0.000006
12.846206  0.000009
12.859235  0.000005
12.872264  0.000004
12.885292  0.000003
12.898321  0.000003
12.911349  0.000005
12.924378  0.000007
12.937407  0.000002
12.950435  0.000005
12.963464  0.000003
12.976493  0.000002
12.989521  0.000006
13.002550  0.000005
13.015578  0.000001
13.028607  0.000004
13.041636  0.000008
13.054664  0.000007
13.067693  0.000008
13.080721  0.000007
13.093750  0.000001
13.106779  0.000007
13.119807  0.000002
13.132836  0.000005
13.145864  0.000006
13.158893  0.000002
13.171922  0.000000
13.184950  0.000003
13.197979  0.000006
13.211007  0.000005
13.224036  0.000003
13.237065  0.000003
13.250093  0.000004
13.263122  0.000003
13.276150  0.000008
13.289179  0.000009
13.302208  0.000006
13.315236  0.000001
13.328265  0.000008
13.341294  0.000009
13.354322  0.000005
13.367351  0.000013
13.380379  0.000003
13.393408  0.000007
13.406437  0.000005
13.419465  0.000006
13.432494  0.000002
13.445522  0.000011
13.458551  0.000006
13.471580  0.000005
13.484608  0.000001
13.497637  0.000008
13.510665  0.000008
13.523694  0.000008
13.536723  0.000007
13.549751  0.000002
13.562780  0.000003
13.575808  0.000004
13.588837  0.000006
13.601866  0.000004
13.614894  0.000005
13.627923  0.000006
13.640951  0.000006
13.653980  0.000008
13.667009  0.000004
13.680037  0.000004
13.693066  0.000003
13.706095  0.000002
13.719123  0.000006
13.732152  0.000002
13.745180  0.000006
13.758209  0.000006
13.771238  0.000004
13.784266  0.000007
13.797295  0.000011
13.810323  0.000009
13.823352  0.000008
13.836381  0.000003
13.849409  0.000003
13.862438  0.000011
13.875466  0.000006
13.888495  0.000004
13.901524  0.000001
13.914552  0.000006
13.927581  0.000005
13.940609  0.000004
13.953638  0.000005
13.966667  0.000006
13.979695  0.000004
13.992724  0.000002
14.005752  0.000005
14.018781  0.000005
14.031810  0.000004
14.044838  0.000005
14.057867  0.000005
14.070896  0.000007
14.083924  0.000002
14.096953  0.000002
14.109981  0.000004
14.123010  0.000005
14.136039  0.000002
14.149067  0.000005
14.162096  0.000005
14.175124  0.000006
14.188153  0.000005
14.201182  0.000004
14.214210  0.000006
14.227239  0.000002
14.240267  0.000008
14.253296  0.000003
14.266325  0.000007
14.279353  0.000008
14.292382  0.000004
14.305410  0.000005
14.318439  0.000006
14.331468  0.000005
14.344496  0.000001
14.357525  0.000008
14.370553  0.000004
14.383582  0.000004
14.396611  0.000008
14.409639  0.000006
14.422668  0.000003
14.435697  0.000011
14.448725  0.000007
14.461754  0.000003
14.474782  0.000002
14.487811  0.000005
14.500840  0.000005
14.513868  0.000006
14.526897  0.000008
14.539925  0.000004
14.552954  0.000005
14.565983  0.000004
14.579011  0.000010
14.592040  0.000005
14.605068  0.000003
14.618097  0.000001
14.631126  0.000002
14.644154  0.000004
14.657183  0.000003
14.670211  0.000003
14.683240  0.000003
14.696269  0.000002
14.709297  0.000002
14.722326  0.000007
14.735354  0.000003
14.748383  0.000003
14.761412  0.000000
14.774440  0.000005
14.787469  0.000006
14.800497  0.000007
14.813526  0.000002
14.826555  0.000005
14.839583  0.000012
14.852612  0.000005
14.865641  0.000002
14.878669  0.000002
14.891698  0.000000
14.904726  0.000006
14.917755  0.000008
14.930784  0.000009
14.943812  0.000005
14.956841  0.000006
14.969869  0.000003
14.982898  0.000003
14.995927  0.000006
15.008955  0.000005
15.021984  0.000004
15.035012  0.000001
15.048041  0.000005
15.061070  0.000000
15.074098  0.000002
15.087127  0.000002
15.100155  0.000001
15.113184  0.000008
15.126213  0.000003
15.139241  0.000005
15.152270  0.000005
15.165298  0.000004
15.178327  0.000006
15.191356  0.000003
15.204384  0.000003
15.217413  0.000003
15.230442  0.000006
15.243470  0.000002
15.256499  0.000006
15.269527  0.000006
15.282556  0.000001
15.295585  0.000002
15.308613  0.000006
15.321642  0.000007
15.334670  0.000003
15.347699  0.000005
15.360728  0.000006
15.373756  0.000004
15.386785  0.000006
15.399813  0.000005
15.412842  0.000003
15.425871  0.000001
15.438899  0.000004
15.451928  0.000007
15.464956  0.000007
15.477985  0.000004
15.491014  0.000004
15.504042  0.000002
15.517071  0.000012
15.530099  0.000012
15.543128  0.000008
15.556157  0.000008
15.569185  0.000008
15.582214  0.000003
15.595243  0.000009
15.608271  0.000005
15.621300  0.000004
15.634328  0.000002
15.647357  0.000009
15.660386  0.000005
15.673414  0.000001
15.686443  0.000005
15.699471  0.000004
15.712500  0.000005
15.725529  0.000006
15.738557  0.000006
15.751586  0.000007
15.764614  0.000004
15.777643  0.000007
15.790672  0.000002
15.803700  0.000001
15.816729  0.000010
15.829757  0.000004
15.842786  0.000005
15.855815  0.000008
15.868843  0.000002
15.881872  0.000001
15.894900  0.000002
15.907929  0.000005
15.920958  0.000006
15.933986  0.000009
15.947015  0.000004
15.960044  0.000003
15.973072  0.000003
15.986101  0.000002
15.999129  0.000006
16.012158  0.000004
16.025187  0.000004
16.038215  0.000001
16.051244  0.000003
16.064272  0.000005
16.077301  0.000001
16.090330  0.000005
16.103358  0.000004
16.116387  0.000007
16.129415  0.000009
16.142444  0.000004
16.155473  0.000008
16.168501  0.000006
16.181530  0.000004
16.194558  0.000004
16.207587  0.000003
16.220616  0.000005
16.233644  0.000007
16.246673  0.000003
16.259701  0.000003
16.272730  0.000006
16.285759  0.000007
16.298787  0.000001
16.311816  0.000004
